=== Job started on Wed 29 Apr 23:29:16 WEST 2026 ===
Running on node(s): cnx027
Python executable: /projects/F202508983CPCAA0/jcorreia/work/react_selection_x86/bin/python
Python 3.12.3
sys.path ok, site: 
Embedder: smarts_transformer
FP output : data/processed/template_fingerprints_smarts_256.npy
Meta output: data/processed/template_metadata.parquet
23:29:50  INFO     === Template fingerprint pre-computation ===
23:29:50  INFO     Templates : /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/data/processed/retrorules-merged.csv
23:29:50  INFO     embedder=smarts_transformer
23:29:53  INFO     Loaded 361751 templates from /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/data/processed/retrorules-merged.csv
23:29:53  INFO     Loading SMARTS transformer from /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/models/smarts_embedder
23:30:49  INFO     SMARTS transformer loaded  dim=256
05:04:28  INFO     Embedded 228000 / 361751  (63.0%)  ETA 11744s
05:05:03  INFO     Embedded 229000 / 361751  (63.3%)  ETA 11626s
05:05:54  INFO     Embedded 230000 / 361751  (63.6%)  ETA 11517s
05:07:02  INFO     Embedded 231000 / 361751  (63.9%)  ETA 11419s
05:08:05  INFO     Embedded 232000 / 361751  (64.1%)  ETA 11317s
05:08:51  INFO     Embedded 233000 / 361751  (64.4%)  ETA 11208s
05:10:03  INFO     Embedded 234000 / 361751  (64.7%)  ETA 11112s
05:10:44  INFO     Embedded 235000 / 361751  (65.0%)  ETA 11001s
05:11:15  INFO     Embedded 236000 / 361751  (65.2%)  ETA 10884s
05:13:09  INFO     Embedded 237000 / 361751  (65.5%)  ETA 10812s
05:14:35  INFO     Embedded 238000 / 361751  (65.8%)  ETA 10725s
05:15:35  INFO     Embedded 239000 / 361751  (66.1%)  ETA 10624s
05:16:37  INFO     Embedded 240000 / 361751  (66.3%)  ETA 10525s
05:17:40  INFO     Embedded 241000 / 361751  (66.6%)  ETA 10427s
05:19:13  INFO     Embedded 242000 / 361751  (66.9%)  ETA 10344s
05:20:24  INFO     Embedded 243000 / 361751  (67.2%)  ETA 10250s
05:21:15  INFO     Embedded 244000 / 361751  (67.4%)  ETA 10147s
05:22:10  INFO     Embedded 245000 / 361751  (67.7%)  ETA 10046s
05:23:09  INFO     Embedded 246000 / 361751  (68.0%)  ETA 9947s
05:24:26  INFO     Embedded 247000 / 361751  (68.3%)  ETA 9857s
05:25:34  INFO     Embedded 248000 / 361751  (68.6%)  ETA 9763s
05:26:42  INFO     Embedded 249000 / 361751  (68.8%)  ETA 9669s
05:27:42  INFO     Embedded 250000 / 361751  (69.1%)  ETA 9572s
05:28:39  INFO     Embedded 251000 / 361751  (69.4%)  ETA 9473s
05:29:42  INFO     Embedded 252000 / 361751  (69.7%)  ETA 9378s
05:30:20  INFO     Embedded 253000 / 361751  (69.9%)  ETA 9272s
05:31:08  INFO     Embedded 254000 / 361751  (70.2%)  ETA 9171s
05:32:09  INFO     Embedded 255000 / 361751  (70.5%)  ETA 9076s
05:33:27  INFO     Embedded 256000 / 361751  (70.8%)  ETA 8988s
05:36:10  INFO     Embedded 257000 / 361751  (71.0%)  ETA 8935s
05:37:38  INFO     Embedded 258000 / 361751  (71.3%)  ETA 8851s
05:38:53  INFO     Embedded 259000 / 361751  (71.6%)  ETA 8761s
05:40:08  INFO     Embedded 260000 / 361751  (71.9%)  ETA 8672s
05:42:24  INFO     Embedded 261000 / 361751  (72.1%)  ETA 8606s
05:44:07  INFO     Embedded 262000 / 361751  (72.4%)  ETA 8528s
05:46:24  INFO     Embedded 263000 / 361751  (72.7%)  ETA 8462s
05:48:18  INFO     Embedded 264000 / 361751  (73.0%)  ETA 8386s
05:49:09  INFO     Embedded 265000 / 361751  (73.3%)  ETA 8288s
05:50:31  INFO     Embedded 266000 / 361751  (73.5%)  ETA 8201s
05:52:14  INFO     Embedded 267000 / 361751  (73.8%)  ETA 8121s
05:54:50  INFO     Embedded 268000 / 361751  (74.1%)  ETA 8060s
05:56:08  INFO     Embedded 269000 / 361751  (74.4%)  ETA 7971s
05:58:09  INFO     Embedded 270000 / 361751  (74.6%)  ETA 7897s
05:59:46  INFO     Embedded 271000 / 361751  (74.9%)  ETA 7815s
06:01:10  INFO     Embedded 272000 / 361751  (75.2%)  ETA 7728s
06:01:44  INFO     Embedded 273000 / 361751  (75.5%)  ETA 7625s
06:02:47  INFO     Embedded 274000 / 361751  (75.7%)  ETA 7532s
06:03:13  INFO     Embedded 275000 / 361751  (76.0%)  ETA 7427s
06:04:26  INFO     Embedded 276000 / 361751  (76.3%)  ETA 7338s
06:05:13  INFO     Embedded 277000 / 361751  (76.6%)  ETA 7240s
06:06:05  INFO     Embedded 278000 / 361751  (76.8%)  ETA 7145s
06:07:02  INFO     Embedded 279000 / 361751  (77.1%)  ETA 7051s
06:07:51  INFO     Embedded 280000 / 361751  (77.4%)  ETA 6955s
06:09:26  INFO     Embedded 281000 / 361751  (77.7%)  ETA 6873s
06:10:43  INFO     Embedded 282000 / 361751  (78.0%)  ETA 6786s
06:12:00  INFO     Embedded 283000 / 361751  (78.2%)  ETA 6698s
06:13:01  INFO     Embedded 284000 / 361751  (78.5%)  ETA 6607s
06:13:54  INFO     Embedded 285000 / 361751  (78.8%)  ETA 6513s
06:14:40  INFO     Embedded 286000 / 361751  (79.1%)  ETA 6418s
